Year,Value,Category,Metric,Statistic
1981,,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1981,57,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1981,313,Business,Reason for Journey,Visitors to Ireland (Thousand)
1981,,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1981,19,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1981,134,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1981,,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1982,178,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1982,691,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1982,,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1982,102,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1982,556,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1982,,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1982,74,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1982,356,Business,Reason for Journey,Visitors to Ireland (Thousand)
1982,,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1982,24,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1982,154,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1982,,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1983,208,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1983,720,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1983,11.3,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1983,114,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1983,566,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1983,11.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1983,75,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1983,357,Business,Reason for Journey,Visitors to Ireland (Thousand)
1983,3.7,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1983,20,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1983,135,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1983,6.1,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1984,246,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1984,704,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1984,11.3,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1984,146,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1984,722,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1984,11.4,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1984,62,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1984,319,Business,Reason for Journey,Visitors to Ireland (Thousand)
1984,3.4,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1984,18,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1984,127,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1984,5.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1985,302,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1985,792,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1985,11.3,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1985,166,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1985,712,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1985,11.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1985,67,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1985,290,Business,Reason for Journey,Visitors to Ireland (Thousand)
1985,3.6,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1985,27,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1985,117,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1985,7.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1986,232,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1986,641,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1986,10.9,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1986,175,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1986,700,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1986,11,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1986,80,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1986,315,Business,Reason for Journey,Visitors to Ireland (Thousand)
1986,4.3,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1986,43,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1986,156,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1986,11.6,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1987,249,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1987,710,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1987,10.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1987,225,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1987,836,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1987,10.8,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1987,97,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1987,354,Business,Reason for Journey,Visitors to Ireland (Thousand)
1987,3.7,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1987,43,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1987,139,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1987,10.9,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1988,298,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1988,810,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1988,10.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1988,246,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
